molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,target_chembl_id,target_organism
CHEMBL406146,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,IC50,413.0,nM,CHEMBL4822,Homo sapiens
CHEMBL78946,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,IC50,2.0,nM,CHEMBL4822,Homo sapiens
CHEMBL324109,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)NC(CCSC)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,460.0,nM,CHEMBL4822,Homo sapiens
CHEMBL114147,CC(=O)NCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,9000.0,nM,CHEMBL4822,Homo sapiens
CHEMBL419949,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,5600.0,nM,CHEMBL4822,Homo sapiens
CHEMBL116826,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)NC(CC[S+](C)[O-])[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,34000.0,nM,CHEMBL4822,Homo sapiens
CHEMBL143239,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)C(O)c1ccccc1-c1ccccc1)C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1,IC50,20.0,nM,CHEMBL4822,Homo sapiens
CHEMBL332948,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,21.0,nM,CHEMBL4822,Homo sapiens
CHEMBL51386,CSCC[C@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,IC50,300.0,nM,CHEMBL4822,Homo sapiens
CHEMBL332260,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,50.0,nM,CHEMBL4822,Homo sapiens
CHEMBL2370886,CCC(O)[C@H](NC(=O)[C@@H](N)CCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C)[C@@H](C)CC,IC50,30.0,nM,CHEMBL4822,Homo sapiens
CHEMBL142715,c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1,IC50,350.0,nM,CHEMBL4822,Homo sapiens
CHEMBL326488,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccc(C(=O)O)cc1,IC50,100000.0,nM,CHEMBL4822,Homo sapiens
CHEMBL290001,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,IC50,2.0,nM,CHEMBL4822,Homo sapiens
CHEMBL324122,CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,42000.0,nM,CHEMBL4822,Homo sapiens
CHEMBL114169,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1)C(=O)NCc1ccc(C(=O)O)cc1,IC50,1300.0,nM,CHEMBL4822,Homo sapiens
CHEMBL143687,COC(=O)c1cc(NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)cc(C(=O)OC)c1,IC50,120.0,nM,CHEMBL4822,Homo sapiens
CHEMBL309438,CCC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,650.0,nM,CHEMBL4822,Homo sapiens
CHEMBL332713,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@H](O)[C@@H](N)Cc1ccccc1)C(=O)NCc1ccc(C(=O)O)cc1,IC50,100000.0,nM,CHEMBL4822,Homo sapiens
CHEMBL82270,CC(C)[C@H](F)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,1130.0,nM,CHEMBL4822,Homo sapiens
CHEMBL138386,CC(C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,190.0,nM,CHEMBL4822,Homo sapiens
CHEMBL432560,CC[C@H](C)[C@H](O)C(=O)N[C@@H](CCC(F)F)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CCC(F)F)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,45.0,nM,CHEMBL4822,Homo sapiens
CHEMBL84835,CC(C)CC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,1740.0,nM,CHEMBL4822,Homo sapiens
CHEMBL316181,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,IC50,37.0,nM,CHEMBL4822,Homo sapiens
CHEMBL84022,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](O)CC(F)(F)F)C(=O)NCc1ccncc1,IC50,220.0,nM,CHEMBL4822,Homo sapiens
CHEMBL433329,CC[C@H](C)[C@H](O)C(=O)N[C@@H](CCCF)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CCCF)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,67.0,nM,CHEMBL4822,Homo sapiens
CHEMBL82102,CC(C)C[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,230.0,nM,CHEMBL4822,Homo sapiens
CHEMBL84249,CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](O)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](C)c1ccccc1)C(C)C,IC50,60.0,nM,CHEMBL4822,Homo sapiens
CHEMBL81671,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,82.0,nM,CHEMBL4822,Homo sapiens
CHEMBL312058,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,130.0,nM,CHEMBL4822,Homo sapiens
CHEMBL1790644,CC[C@H](C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,35.0,nM,CHEMBL4822,Homo sapiens
CHEMBL33724,CC(C)[C@H](O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,350.0,nM,CHEMBL4822,Homo sapiens
CHEMBL85378,CC(C)[C@H](O)C(=O)N[C@@H](COC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,4490.0,nM,CHEMBL4822,Homo sapiens
CHEMBL312956,CC(C)[C@H](O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C)C(C)C,IC50,4640.0,nM,CHEMBL4822,Homo sapiens
CHEMBL84834,CCC[C@H](NC(=O)[C@@H](O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,550.0,nM,CHEMBL4822,Homo sapiens
CHEMBL82352,CSCC[C@H](NC(=O)[C@@H](O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,IC50,350.0,nM,CHEMBL4822,Homo sapiens
