action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Not Determined,35255,[],CHEMBL653504,Tested for inhibition of ranzyme B by the compound,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)OCc1ccccc1)C(C)C,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL39451,,CHEMBL39451,,0,,64247,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Active,35269,[],CHEMBL653506,Tested for inhibition of secreted beta-secretase 1 (SAP-2) from Candida albicans; NI = No Inhibition,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)[C@@H](C)O,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL41319,,CHEMBL41319,,0,,64242,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Active,38924,[],CHEMBL653506,Tested for inhibition of secreted beta-secretase 1 (SAP-2) from Candida albicans; NI = No Inhibition,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)CC)[C@@H](C)O,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL39246,,CHEMBL39246,,0,,64237,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Active,40011,[],CHEMBL653506,Tested for inhibition of secreted beta-secretase 1 (SAP-2) from Candida albicans; NI = No Inhibition,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)OCc1ccccc1)C(C)C,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL41203,,CHEMBL41203,,0,,64250,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Active,43619,[],CHEMBL653506,Tested for inhibition of secreted beta-secretase 1 (SAP-2) from Candida albicans; NI = No Inhibition,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)[C@@H]1O[C@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)OCc1ccccc1)C(C)C,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL38598,,CHEMBL38598,,0,,64246,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Determined,49937,[],CHEMBL653503,Tested for inhibition of granzyme B by the compound; ND = Not determined,B,,,BAO_0000179,BAO_0000357,single protein format,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)O)C(=O)[C@H]1O[C@@H]1CCc1ccccc1,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL431714,,CHEMBL431714,,0,,64268,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Determined,49947,[],CHEMBL653503,Tested for inhibition of granzyme B by the compound; ND = Not determined,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)[C@@H]1O[C@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)[C@@H](C)O,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL43583,,CHEMBL43583,,0,,64241,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Active,57423,[],CHEMBL653506,Tested for inhibition of secreted beta-secretase 1 (SAP-2) from Candida albicans; NI = No Inhibition,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CCc1ccccc1)C(C)C,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL38029,,CHEMBL38029,,0,,64230,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Active,69072,[],CHEMBL653506,Tested for inhibition of secreted beta-secretase 1 (SAP-2) from Candida albicans; NI = No Inhibition,B,,,BAO_0000179,BAO_0000357,single protein format,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)O)C(=O)[C@H]1O[C@@H]1C(=O)OCc1ccccc1,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL40135,,CHEMBL40135,,0,,64266,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
,Not Determined,70477,[],CHEMBL653503,Tested for inhibition of granzyme B by the compound; ND = Not determined,B,,,BAO_0000179,BAO_0000357,single protein format,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)O)C(=O)[C@H]1O[C@@H]1C(=O)OCc1ccccc1,,,CHEMBL1149106,J Med Chem,2004,,,CHEMBL40135,,CHEMBL40135,,0,,64231,,1,0,,,k obs / 1,,,,CHEMBL4822,Homo sapiens,Beta-secretase 1,9606,,,k obs / 1,M-1 s-1,,,
